M5B5WE1,CA_000442_3386_00
MTLSCO1,CA_000013_3334_00
MGELO01,CA_000436_3318_00
MPULSE1,CA_000555_3404_00
MTGPUN1,CA_000249_3291_00
MATKNI1,CA_000120_3087_00
MDKICK1,CA_000013_3328_00
MALBRU1,CA_000532_1355_00
MLVDGU4,CA_000506_3232_00
M3HEMV1,CA_000786_483_00
SCAIN01S1E1,CA_000622_50320_00
SCAIN01S1E2,CA_000622_50362_00
SCAIN01S1E3,CA_000622_51772_00
SCAIN01S1E4,CA_000622_50090_00
SCAIN01S1E5,CA_000622_49791_00
SCAIN01S1E6,CA_000622_49786_00
SCAIN01S1E7,CA_000622_49923_00
SCAIN01S1E8,CA_000622_50107_00
SCAIN01S3E1,CA_000622_50968_00
SCAIN01S3E2,CA_000622_50971_00
SCAIN01S3E3,CA_000622_50981_00
SCAIN01S3E4,CA_000622_51855_00
SCAIN01S3E5,CA_000622_51854_00
SCAIN01S3E6,CA_000622_50974_00
SCAIN01S3E7,CA_000622_50970_00
SCAIN01S3E8,CA_000622_50979_00
SCAIN01S5E1,CA_000622_50993_00
SCAIN01S5E2,CA_000622_50990_00
SCAIN01S5E3,CA_000622_50923_00
SCAIN01S5E4,CA_000622_50992_00
SCAIN01S5E5,CA_000622_51851_00
SCAIN01S7E1,CA_000622_51017_00
SCAIN01S7E2,CA_000622_51015_00
SCAIN01S7E3,CA_000622_51018_00
SCAIN01S7E4,CA_000622_51019_00
SCAIN01S7E5,CA_000622_51850_00
SCAIN01S7E6,CA_000622_51016_00
SCAIN01S7E7,CA_000622_51022_00
SCAIN01S7E8,CA_000622_51024_00
MPIEGR1,CA_000051_2435_00
MADADV1,CA_000877_59301_00
MAWCRY1,CA_000120_3085_00
MSDOG01,CA_000877_59327_00
MBPROH1,CA_000506_185_00
MCLHPE1,CA_000532_1731_00
MECMAN1,CA_000532_1000_00
MCEAPU1,CA_000506_1359_00
MCADMU1,CA_000532_998_00
MCDGUA1,CA_000532_486_00
MHRARF1,CA_000877_59320_00
MTPAHT1,CA_000120_3084_00
MESDHH1,CA_000442_3390_00
MCPRIN1,CA_000120_3086_00
MLTBOH1,CA_000506_987_00
MPQNMU1,CA_000532_1401_00
MDQSCO1,CA_000532_1350_00
MDNLPR1,CA_000532_1380_00
MDPDEJ1,CA_000532_1734_00
MEBRUT1,CA_000532_469_00
MITMBI1,CA_000877_59321_00
MBBTTR1,CA_000877_59305_00
MC10001,CA_000877_59312_00
MMIMPO1,CA_000506_1759_00
MEESCA1,CA_000532_1377_00
MLESCO2,CA_000532_165_00
METNEG1,CA_000506_1390_00
MDNLQU1,CA_000532_1763_00
MREPOR1,CA_000532_978_00
MLAHCH1,CA_000442_3397_00
MCECIL1,CA_000877_59310_00
MTTWIS1,CA_000120_3088_00
MEIPZO1,CA_000532_1387_00
MALCVI1,CA_000532_184_00
MLLDRI1,CA_000506_65_00
MLVQNT1,CA_000532_119_00
SSMHUA1S1E1,CA_000618_49690_00
SSMHUA1S1E2,CA_000618_49619_00
SSMHUA1S1E3,CA_000618_49645_00
SSMHUA1S1E4,CA_000618_49825_00
SSMHUA1S1E5,CA_000618_49823_00
SSMHUA1S1E6,CA_000618_49621_00
MRSRUE1,CA_000532_455_00
